Temp_C,Humidity,Wind_kmh,Pressure_hPa,Season,Rain_Today
37.2,49,18.0,991.1,Spring,0
28.6,20,10.7,1022.0,Winter,0
20.3,63,0.0,1032.4,Summer,1
30.2,51,36.1,1010.6,Summer,1
38.1,95,21.3,1014.6,Spring,0
30.0,64,31.7,1035.5,Winter,1
24.5,62,30.4,992.2,Spring,0
27.6,36,12.9,989.3,Autumn,0
31.4,86,28.6,1040.3,Summer,1
25.1,97,37.6,1024.4,Autumn,1
18.4,88,37.3,1006.7,Autumn,1
20.9,37,18.8,1006.5,Winter,0
22.8,72,26.3,1015.8,Summer,0
37.2,91,16.9,1007.9,Winter,0
31.5,97,5.9,998.8,Spring,1
16.2,68,18.8,989.8,Autumn,0
16.7,98,38.4,1028.1,Winter,1
36.6,40,22.4,999.9,Winter,0
36.0,29,6.1,998.9,Summer,0
22.0,24,35.1,993.5,Spring,0
30.3,100,11.7,990.3,Autumn,1
30.7,39,28.7,1020.3,Spring,0
25.6,64,34.1,997.7,Spring,1
21.9,75,27.1,1036.9,Summer,0
22.9,47,3.0,984.5,Spring,0
25.8,80,30.8,1001.2,Spring,1
22.1,59,6.0,1015.7,Winter,1
17.1,33,13.4,1013.9,Winter,0
20.1,22,6.1,1026.5,Autumn,0
31.8,67,19.5,1014.0,Spring,0
33.2,39,22.5,989.5,Winter,0
21.5,99,5.8,1038.6,Summer,0
27.6,71,30.5,986.8,Autumn,0
23.6,83,24.9,1021.4,Autumn,0
36.2,81,6.4,990.3,Spring,1
20.5,50,34.4,1039.3,Autumn,0
25.3,72,18.9,1009.1,Summer,0
35.5,31,9.4,1025.4,Autumn,0
27.4,30,2.9,1008.9,Spring,0
19.8,45,1.7,1000.1,Autumn,0
13.7,63,6.7,1009.8,Summer,0
24.6,60,2.5,1039.7,Summer,1
21.8,49,5.0,1047.6,Spring,0
32.2,75,13.4,1001.6,Summer,0
13.5,39,15.3,991.5,Summer,0
15.1,60,14.0,998.9,Summer,0
22.2,37,3.9,1032.4,Spring,0
27.5,75,15.5,1011.9,Spring,0
14.1,28,23.3,988.2,Summer,0
32.2,60,6.5,1008.4,Spring,0
20.6,28,3.5,984.3,Summer,0
31.5,47,16.9,1034.7,Autumn,0
25.5,47,14.9,1037.6,Winter,0
8.1,58,17.1,998.6,Spring,1
27.3,27,25.0,993.6,Autumn,0
30.5,79,35.0,1035.5,Autumn,0
24.9,53,7.0,981.0,Autumn,1
32.7,64,3.6,1011.6,Spring,1
33.8,66,1.2,996.2,Summer,0
30.5,46,9.8,1022.5,Winter,0
23.4,83,38.3,1046.9,Summer,0
20.2,68,20.1,1022.7,Summer,1
24.7,96,31.8,1030.7,Autumn,0
25.5,64,25.0,1040.0,Autumn,0
23.0,88,30.3,1047.4,Spring,0
37.7,65,34.8,1043.5,Spring,1
19.5,25,22.1,1029.4,Spring,0
37.6,94,6.4,1022.7,Winter,1
22.5,85,17.5,987.7,Summer,1
25.4,52,30.2,1032.7,Winter,1
27.6,93,32.6,1005.3,Winter,0
29.0,25,8.1,986.4,Spring,0
27.6,81,29.4,1017.0,Autumn,1
21.2,41,10.2,1002.6,Autumn,0
29.2,82,22.5,986.8,Spring,0
35.4,43,12.3,993.1,Spring,0
25.0,22,22.4,1004.6,Summer,0
22.7,35,35.0,992.9,Spring,0
35.7,51,30.6,1017.0,Summer,0
40.7,40,14.4,988.9,Winter,0
26.3,79,12.2,1018.2,Spring,0
23.9,79,29.9,989.2,Autumn,0
29.0,31,25.5,981.1,Autumn,0
25.3,28,29.7,1005.3,Winter,0
17.4,59,3.8,1010.7,Summer,1
23.4,46,7.8,1031.3,Spring,0
28.6,31,3.2,985.1,Spring,0
36.5,29,6.1,991.7,Winter,0
32.8,66,15.6,1014.4,Winter,1
25.7,97,13.0,1021.2,Spring,1
20.3,34,6.9,1045.6,Winter,0
28.5,75,11.4,1002.3,Spring,0
29.3,23,33.2,1022.0,Summer,0
23.9,79,35.7,1002.3,Summer,0
23.1,75,3.4,1039.8,Summer,0
31.2,85,25.7,994.1,Spring,1
43.7,97,5.9,1026.4,Autumn,1
24.8,89,1.6,1034.2,Spring,1
28.5,89,35.7,1008.2,Autumn,0
31.0,48,22.2,986.4,Autumn,0
30.4,58,16.4,980.5,Winter,0
41.3,80,39.4,989.3,Spring,0
19.7,80,28.1,988.5,Autumn,1
24.5,90,21.3,1002.1,Winter,0
16.5,74,28.0,991.4,Autumn,0
26.7,91,17.7,989.1,Autumn,1
39.9,33,7.3,1011.6,Summer,0
11.3,67,4.2,985.0,Summer,1
23.5,56,4.2,1028.9,Winter,1
26.5,63,1.5,1021.5,Winter,1
17.3,30,4.5,1002.2,Autumn,0
35.6,52,38.6,982.2,Spring,1
22.9,59,27.9,1032.3,Autumn,0
16.0,100,35.0,992.0,Winter,1
24.9,37,8.0,1041.0,Winter,0
29.2,33,3.6,1029.1,Autumn,0
23.5,79,17.6,1032.5,Autumn,0
25.6,28,5.0,1027.8,Summer,0
17.7,50,11.8,988.1,Autumn,0
17.1,52,32.4,991.0,Autumn,1
26.9,51,29.4,1025.8,Autumn,0
28.5,57,20.4,986.1,Autumn,0
26.0,38,26.8,1014.1,Spring,0
33.7,57,21.0,1039.9,Autumn,1
25.8,97,37.9,1034.7,Winter,0
29.2,59,9.4,1045.8,Summer,1
21.2,97,10.8,1007.2,Summer,1
29.9,73,29.5,990.9,Spring,1
16.9,32,24.6,1045.3,Autumn,0
16.5,41,4.3,1010.5,Spring,0
19.6,86,8.3,1000.7,Autumn,0
12.7,56,14.4,1001.4,Autumn,0
18.1,56,18.5,1034.0,Spring,0
18.0,50,16.2,1003.8,Summer,0
15.7,82,24.1,1035.8,Spring,0
28.3,99,15.3,1028.3,Winter,1
15.9,34,13.8,1014.2,Spring,0
20.9,33,34.0,1009.9,Autumn,0
31.4,30,24.8,990.2,Autumn,0
26.4,62,35.7,983.2,Summer,1
37.2,42,15.5,1043.0,Autumn,0
19.3,56,38.0,989.7,Winter,0
22.7,58,12.1,1021.8,Autumn,1
30.7,64,21.0,1006.2,Autumn,0
24.4,77,10.0,1029.6,Summer,1
21.1,68,21.1,1036.9,Summer,0
31.6,91,29.4,1004.7,Autumn,1
22.0,66,29.2,1023.3,Summer,1
18.2,44,12.2,1012.1,Spring,0
24.0,85,31.6,1023.4,Autumn,0
35.4,36,32.2,1036.6,Autumn,0
20.9,77,1.5,1037.5,Summer,0
21.6,47,37.2,1004.4,Spring,0
17.2,82,24.0,1024.2,Spring,0
22.7,46,0.5,988.6,Winter,0
13.4,55,2.9,1016.7,Winter,0
27.7,82,35.4,1034.2,Winter,1
18.9,84,6.7,1019.1,Summer,0
19.4,70,25.6,1032.0,Spring,1
26.0,77,26.4,999.2,Winter,1
25.3,76,19.4,1019.6,Spring,0
23.8,79,4.6,988.5,Winter,0
30.5,70,18.7,1040.0,Autumn,0
26.0,67,13.6,982.7,Spring,1
30.1,47,13.2,997.9,Spring,0
16.3,34,5.0,990.6,Summer,0
21.7,74,35.1,1018.1,Summer,1
19.2,35,22.1,982.6,Spring,0
24.9,99,21.7,1013.4,Spring,1
12.9,80,22.7,992.7,Spring,0
27.1,40,24.0,1044.3,Autumn,0
34.6,42,19.7,1026.5,Spring,0
33.7,64,14.5,1046.4,Autumn,0
30.4,81,20.9,1001.9,Winter,1
16.3,58,4.9,1032.2,Winter,0
29.9,32,37.9,1034.7,Summer,0
25.5,51,37.7,1015.6,Autumn,0
35.9,40,10.6,1007.2,Summer,0
20.8,83,32.1,993.5,Spring,0
35.0,37,19.9,1001.2,Autumn,0
12.0,36,26.4,1030.0,Summer,0
38.8,56,31.0,987.5,Autumn,0
22.9,96,12.4,985.7,Winter,0
29.4,68,0.7,992.6,Winter,1
37.5,59,11.7,1041.3,Spring,1
17.1,48,16.7,1010.3,Summer,0
9.8,30,25.3,988.9,Winter,0
12.9,42,1.8,993.9,Summer,0
22.7,47,23.2,987.6,Summer,0
28.5,25,2.7,1004.3,Summer,0
37.5,48,10.9,989.6,Spring,0
22.7,40,15.2,1035.5,Summer,0
32.8,20,21.2,1025.0,Autumn,0
25.3,97,20.0,1041.1,Summer,1
41.6,98,18.3,1012.7,Autumn,1
13.9,98,39.1,1029.9,Winter,0
31.5,76,4.5,1001.5,Summer,0
19.7,67,18.0,992.0,Summer,0
25.5,45,27.1,995.5,Autumn,0
24.4,48,37.2,1040.0,Autumn,0
34.3,56,14.4,1026.6,Spring,1
21.7,69,7.2,1001.4,Autumn,0
20.3,28,28.0,1009.5,Autumn,0
17.4,47,0.6,985.9,Summer,0
32.3,82,13.6,1024.9,Winter,0
16.3,63,32.0,1011.2,Winter,0
26.6,45,13.0,1019.0,Winter,0
28.1,56,23.1,1016.8,Autumn,0
25.1,71,28.6,1029.4,Autumn,0
27.9,72,23.8,1041.9,Autumn,0
24.0,84,30.0,1003.8,Spring,1
26.5,75,20.2,999.8,Summer,0
15.2,40,32.5,988.4,Summer,0
17.0,96,9.0,988.5,Autumn,0
25.2,35,8.2,1041.7,Winter,0
28.2,32,15.1,1004.9,Winter,0
18.1,84,7.8,990.3,Autumn,0
13.7,71,3.8,1034.0,Spring,0
33.1,54,37.4,1004.8,Autumn,0
34.5,95,2.0,1014.9,Spring,0
35.0,20,24.7,999.3,Spring,0
31.1,73,25.6,1028.4,Summer,1
23.6,84,20.3,1009.2,Winter,1
31.8,76,33.0,999.6,Summer,0
18.4,89,21.7,1047.8,Winter,1
28.8,49,28.3,1012.7,Spring,0
22.9,82,31.9,988.3,Autumn,0
32.9,65,16.2,1026.3,Summer,0
30.6,84,19.4,1018.1,Winter,0
19.4,36,24.5,1020.1,Winter,0
25.1,84,30.4,1020.1,Winter,1
27.7,46,4.3,1019.1,Spring,0
27.1,63,10.8,1001.3,Spring,1
21.2,66,10.7,993.6,Winter,0
21.5,30,15.8,1026.9,Spring,0
26.4,55,20.2,1010.2,Winter,1
38.8,87,35.9,1001.9,Autumn,1
29.0,80,36.3,1036.8,Winter,1
20.9,69,6.5,1027.5,Winter,1
26.7,28,21.9,1029.5,Winter,0
29.7,37,16.5,1000.3,Spring,0
28.9,27,1.9,1013.5,Winter,0
25.3,26,15.1,986.2,Autumn,0
32.4,23,37.2,1001.8,Autumn,0
28.8,75,25.0,1002.3,Summer,1
17.4,57,38.8,1047.8,Winter,1
22.0,93,27.2,982.8,Summer,0
14.7,38,10.6,1047.2,Autumn,0
38.1,94,4.1,1007.9,Summer,1
36.6,83,34.3,1024.9,Winter,1
28.4,27,2.0,1045.6,Winter,0
27.2,39,21.7,1026.3,Summer,0
35.4,44,12.0,1013.6,Winter,0
21.0,38,18.2,1003.6,Winter,0
19.5,39,14.2,1047.7,Winter,0
31.7,82,8.5,982.6,Autumn,0
25.2,24,14.5,1031.8,Winter,0
29.5,99,31.1,1044.3,Spring,0
22.8,60,22.9,996.4,Winter,0
14.3,36,34.5,1048.8,Winter,0
24.4,79,17.8,1008.1,Summer,1
28.2,80,36.9,1011.6,Summer,0
29.5,66,16.9,1016.7,Summer,1
24.4,51,25.3,1034.7,Spring,0
25.8,28,5.6,995.0,Spring,0
21.8,74,30.5,981.5,Winter,1
24.2,98,34.0,1038.8,Summer,1
30.7,47,31.7,1039.6,Spring,0
32.6,65,19.5,984.2,Winter,0
13.5,65,20.8,1011.8,Spring,0
37.2,37,39.6,1046.3,Autumn,0
38.5,78,4.2,1038.0,Spring,1
20.7,65,38.3,981.0,Spring,0
33.3,81,40.0,1029.0,Winter,0
20.2,91,13.2,1019.8,Winter,1
19.6,87,26.5,980.3,Spring,0
25.5,91,39.6,1010.4,Summer,0
19.0,54,4.4,1013.5,Winter,0
27.4,44,27.2,1013.7,Winter,0
36.0,92,19.1,1048.1,Summer,1
39.0,81,4.5,1027.0,Spring,1
19.7,69,25.2,1025.9,Winter,1
23.0,66,7.4,1043.2,Spring,0
33.7,67,1.2,1019.7,Autumn,1
24.9,93,19.0,1022.8,Summer,1
19.1,83,17.8,1032.4,Summer,1
37.6,90,30.3,1029.9,Winter,1
21.0,55,6.0,989.2,Winter,0
20.1,93,13.8,981.5,Spring,1
17.6,76,27.9,993.7,Winter,1
29.5,37,13.7,994.8,Summer,0
31.9,35,16.4,987.8,Autumn,0
15.0,100,5.5,1042.4,Spring,1
39.6,45,19.5,998.4,Winter,0
31.8,92,1.8,1002.1,Winter,0
19.7,74,16.9,989.1,Winter,0
28.3,97,13.6,1011.1,Autumn,1
23.6,30,35.5,999.5,Winter,0
25.4,74,3.3,1010.2,Autumn,0
13.1,29,31.2,1029.2,Spring,0
31.7,74,25.5,1030.9,Winter,0
11.7,78,15.9,1033.5,Summer,0
28.2,74,23.8,1023.7,Spring,0
21.6,80,27.8,1048.7,Winter,1
16.3,74,35.7,1038.1,Spring,0
17.6,43,31.2,1023.3,Spring,0
26.3,42,38.0,1021.2,Winter,0
29.4,60,28.7,1026.1,Summer,1
35.9,60,23.2,1002.0,Summer,0
27.0,88,12.3,981.2,Summer,0
20.6,83,18.1,995.1,Spring,1
11.7,24,14.5,1028.6,Summer,0
34.9,39,26.8,1005.1,Summer,0
30.6,53,32.9,989.0,Autumn,0
36.0,60,12.5,1042.2,Autumn,1
37.1,82,38.9,993.8,Autumn,0
19.4,62,4.7,1003.6,Summer,0
37.9,33,40.0,1015.1,Autumn,0
25.6,62,28.8,1032.1,Autumn,1
13.9,63,18.1,1010.5,Spring,1
24.1,22,13.4,1032.3,Winter,0
23.9,50,11.4,1049.8,Autumn,0
28.0,90,38.7,1005.7,Summer,0
13.4,33,32.6,1036.8,Autumn,0
19.0,92,39.8,1005.4,Autumn,1
26.9,67,3.8,992.1,Spring,1
30.7,38,12.0,994.2,Autumn,0
17.7,41,22.6,1019.6,Summer,0
15.4,68,8.6,1006.9,Summer,0
22.5,25,37.3,1015.8,Autumn,0
22.8,54,2.9,985.0,Autumn,1
16.4,91,0.6,1018.7,Winter,0
28.4,70,16.0,1027.6,Autumn,1
36.2,66,11.8,991.6,Summer,0
25.4,27,29.9,991.5,Autumn,0
22.7,52,17.7,1021.9,Autumn,1
19.9,37,18.7,1044.4,Spring,0
39.2,99,36.2,1014.5,Autumn,1
35.1,72,22.8,992.2,Spring,0
16.3,52,19.0,1030.8,Winter,0
34.0,69,32.7,1006.8,Autumn,0
17.1,33,33.8,1032.1,Spring,0
27.4,51,10.8,1010.5,Winter,1
36.6,76,22.6,1013.3,Summer,1
14.5,88,26.6,1046.1,Autumn,1
25.6,66,22.5,1037.9,Autumn,0
23.1,81,19.4,1032.8,Winter,0
28.2,46,32.8,1039.2,Summer,0
13.9,42,5.2,1047.3,Winter,0
5.1,40,23.3,1042.7,Spring,0
28.6,41,24.8,1016.5,Spring,0
29.2,53,26.6,1003.4,Spring,1
19.4,42,6.8,984.1,Winter,0
27.2,46,19.4,1045.2,Autumn,0
8.4,32,26.7,1047.6,Spring,0
34.2,50,25.0,1033.2,Autumn,0
21.6,56,17.1,986.5,Spring,1
26.4,54,1.2,1012.8,Autumn,0
23.5,66,27.5,1003.6,Summer,1
23.3,39,27.7,1005.9,Autumn,0
10.1,71,19.6,1000.3,Autumn,1
11.7,66,28.5,985.6,Summer,1
31.1,36,22.7,1048.5,Summer,0
24.2,40,3.9,1029.9,Winter,0
27.7,25,3.5,980.2,Summer,0
22.7,54,23.0,984.6,Summer,1
17.0,82,12.5,981.2,Spring,0
35.7,86,33.3,1018.8,Summer,1
36.3,96,35.2,1031.0,Summer,1
26.5,91,17.1,1021.0,Autumn,1
22.0,88,35.7,1004.1,Autumn,0
36.3,31,11.4,1001.2,Winter,0
26.3,61,25.8,1016.0,Autumn,0
16.3,53,9.4,1000.4,Winter,1
31.9,53,25.8,1018.8,Spring,1
39.1,29,26.3,1019.8,Spring,0
39.4,29,6.7,1002.1,Autumn,0
32.5,70,10.5,1018.3,Autumn,1
24.8,98,22.8,999.6,Autumn,0
25.4,97,11.1,1037.6,Spring,0
15.4,90,27.9,991.1,Summer,1
25.3,22,1.1,1032.3,Autumn,0
11.8,95,4.0,1023.7,Autumn,1
23.8,62,4.4,1010.5,Summer,0
18.1,99,34.6,1000.8,Spring,1
31.0,71,27.0,1047.3,Spring,1
16.2,56,27.3,1005.4,Spring,1
11.7,20,27.4,1037.7,Winter,0
26.7,58,18.8,1021.2,Autumn,1
28.4,74,23.8,1010.2,Autumn,0
20.3,98,1.8,1000.4,Spring,0
25.6,65,29.3,1015.4,Winter,1
16.5,68,18.9,984.8,Autumn,1
23.5,89,17.3,1039.7,Summer,1
8.7,49,32.6,1039.2,Autumn,0
35.9,100,8.7,1032.6,Autumn,0
25.0,74,8.8,999.2,Summer,0
27.8,98,19.3,1029.9,Winter,0
31.9,66,37.0,1028.8,Autumn,1
27.1,77,22.2,1029.9,Winter,1
21.3,33,0.4,1038.8,Winter,0
24.5,34,19.9,1023.0,Autumn,0
23.5,63,18.6,1043.3,Autumn,0
21.1,78,8.4,1018.1,Summer,0
27.3,53,1.8,1037.6,Autumn,0
28.1,37,2.7,998.7,Autumn,0
27.7,35,12.5,996.1,Summer,0
25.1,26,18.2,1029.1,Winter,0
25.4,87,23.0,1006.9,Summer,0
20.4,58,27.2,1007.9,Summer,1
17.7,38,5.2,1024.9,Spring,0
25.6,47,12.1,984.6,Winter,0
6.4,43,6.5,986.3,Summer,0
31.0,54,11.9,1048.0,Autumn,1
9.5,43,28.0,1009.4,Autumn,0
24.6,78,24.4,1005.5,Autumn,1
27.0,69,13.0,994.2,Winter,1
25.4,74,13.9,1031.3,Autumn,0
19.5,29,25.7,1007.2,Spring,0
30.1,96,15.6,1022.5,Winter,0
30.1,23,36.4,1014.7,Summer,0
30.5,50,12.4,1046.5,Winter,0
30.2,91,15.9,1039.8,Winter,1
17.3,78,25.0,1046.2,Autumn,0
8.0,48,34.2,1009.1,Autumn,0
15.3,21,15.3,1022.4,Autumn,0
32.6,31,25.2,988.8,Autumn,0
22.3,68,3.9,993.6,Winter,0
20.9,61,38.9,1038.7,Spring,0
25.8,57,19.6,1027.7,Spring,1
31.6,92,20.8,1019.0,Winter,1
24.1,33,31.4,1040.0,Autumn,0
37.1,42,11.3,1030.2,Spring,0
37.6,81,6.8,1035.2,Spring,0
19.5,24,5.9,1008.0,Spring,0
22.1,87,24.9,1044.8,Spring,1
32.2,42,31.2,987.9,Summer,0
29.8,77,14.5,1002.0,Winter,0
19.7,71,21.2,1018.0,Summer,0
12.6,92,1.1,1049.4,Spring,1
21.7,75,9.7,1032.6,Summer,0
27.7,86,24.0,1031.2,Spring,0
16.1,48,28.6,1003.3,Winter,0
15.0,40,15.3,1015.2,Autumn,0
27.4,82,39.3,1029.9,Winter,0
15.9,29,12.4,990.5,Winter,0
19.2,86,4.7,1015.5,Winter,0
19.4,28,14.5,996.5,Spring,0
33.1,25,9.5,1033.2,Summer,0
31.8,50,2.4,998.7,Spring,0
23.9,79,22.6,1022.0,Spring,0
28.4,70,9.5,1003.2,Winter,0
21.9,86,3.9,1039.3,Summer,1
14.3,76,1.7,1016.3,Winter,1
28.9,100,35.0,1023.0,Spring,0
6.4,100,35.3,997.9,Autumn,0
12.7,53,21.4,1025.1,Winter,0
26.9,70,4.7,1038.1,Summer,1
26.5,45,8.1,1013.9,Autumn,0
29.4,66,5.7,986.8,Autumn,0
17.3,75,28.2,1044.1,Winter,1
15.7,23,35.7,998.6,Summer,0
25.0,90,29.5,1007.4,Winter,0
20.0,20,11.1,987.9,Winter,0
22.7,96,23.7,1004.8,Autumn,1
38.1,59,0.8,988.4,Autumn,0
29.5,83,14.2,1015.7,Winter,0
16.5,90,30.2,1011.9,Spring,1
21.5,22,1.2,1001.0,Spring,0
28.6,88,14.8,1016.3,Summer,1
43.1,65,29.9,993.5,Autumn,0
30.2,68,3.9,995.6,Summer,0
23.6,68,4.5,1021.7,Autumn,0
16.0,55,36.1,998.6,Summer,1
27.0,79,30.6,1034.0,Summer,0
28.2,60,15.2,1028.5,Winter,0
32.7,87,22.0,1048.1,Winter,0
15.4,39,21.1,1004.4,Spring,0
32.7,67,31.3,1003.7,Summer,1
26.5,88,32.9,1049.8,Spring,0
21.3,60,6.8,984.7,Summer,0
18.6,34,3.8,1005.0,Summer,0
24.5,30,39.2,1042.2,Spring,0
4.2,51,10.4,1044.2,Spring,0
15.1,100,30.4,1005.0,Spring,1
25.7,69,1.1,1013.8,Autumn,0
35.4,22,20.5,1031.8,Winter,0
11.4,98,19.8,980.9,Spring,0
25.9,28,14.5,1047.5,Summer,0
30.1,95,35.6,984.9,Summer,1
22.0,37,3.0,1019.7,Winter,0
26.6,97,23.1,1047.0,Winter,0
27.4,74,8.4,1038.4,Winter,1
12.8,32,9.2,1039.3,Spring,0
27.5,70,6.3,1039.3,Autumn,0
11.7,93,16.9,984.2,Spring,0
21.6,31,36.3,998.2,Winter,0
28.9,29,33.3,1046.8,Autumn,0
20.7,36,25.9,1024.3,Summer,0
24.3,77,11.1,1021.5,Winter,0
34.5,54,0.2,1012.6,Winter,0
38.4,95,30.3,1008.7,Spring,1
18.0,80,36.9,1011.1,Autumn,0
21.7,75,15.4,993.5,Summer,1
33.0,62,32.0,1016.5,Autumn,0
8.2,71,16.1,1038.4,Spring,0
22.2,92,27.5,1012.2,Summer,0
35.3,85,4.4,1021.4,Winter,1
30.4,35,17.1,1040.9,Winter,0
23.3,45,30.8,1047.3,Winter,0
27.2,95,16.8,1030.7,Winter,1
25.8,91,40.0,1046.7,Winter,0
20.8,58,11.6,985.6,Autumn,0
14.4,48,14.6,1032.3,Autumn,0
17.5,63,37.5,995.0,Spring,1
16.7,87,20.9,994.7,Summer,1
19.5,53,32.0,1010.0,Summer,1
29.4,34,25.5,997.4,Spring,0
36.4,59,3.9,1031.2,Winter,1
36.8,89,32.3,1040.9,Autumn,0
26.1,91,29.0,1044.8,Autumn,1
19.1,71,35.9,996.6,Winter,1
30.8,53,16.6,1015.0,Spring,1
33.6,31,22.1,994.2,Spring,0
28.9,76,31.0,1031.3,Summer,1
21.8,22,32.0,984.3,Winter,0
11.9,36,31.8,1038.3,Winter,0
39.6,66,34.9,1001.6,Winter,0
28.2,71,11.2,992.8,Summer,0
29.6,25,37.7,1013.8,Autumn,0
31.4,84,5.2,1008.3,Summer,0
19.7,61,13.8,1036.7,Spring,1
23.9,30,2.0,1023.8,Winter,0
23.4,83,18.4,1006.9,Spring,1
19.4,34,22.2,995.1,Spring,0
13.3,71,8.5,1008.4,Summer,0
26.7,39,26.6,1024.1,Summer,0
28.6,93,24.9,1049.5,Autumn,1
20.9,72,11.6,1017.2,Summer,1
30.4,25,21.4,1011.6,Spring,0
17.3,40,13.5,1013.2,Autumn,0
39.3,27,1.1,1029.0,Summer,0
33.6,47,5.1,981.8,Spring,0
46.7,63,36.2,1020.3,Winter,1
31.2,85,1.6,1048.1,Autumn,1
17.1,55,27.4,1032.4,Spring,0
10.6,48,13.0,1047.3,Summer,0
21.0,63,28.9,995.6,Autumn,0
26.0,28,23.4,1002.5,Summer,0
24.6,82,9.9,1022.9,Winter,1
25.2,32,13.8,1016.7,Winter,0
33.7,57,33.7,981.4,Summer,1
20.7,62,27.3,1026.0,Winter,0
26.7,57,1.2,995.2,Autumn,0
19.8,22,7.6,1015.7,Summer,0
13.7,53,7.5,1045.4,Autumn,1
41.4,49,20.4,1030.8,Autumn,0
33.8,46,32.5,1009.6,Spring,0
30.5,81,34.2,1043.6,Winter,1
28.6,55,16.6,1027.9,Spring,1
29.3,99,33.1,986.8,Winter,1
29.1,60,20.0,1029.4,Summer,0
29.4,84,27.0,1008.7,Winter,0
28.8,86,29.1,1015.2,Spring,0
15.9,65,38.8,997.2,Autumn,1
31.7,82,34.4,1004.7,Autumn,1
35.7,99,0.8,1011.4,Autumn,1
30.1,47,8.1,998.3,Summer,0
12.7,61,37.5,994.4,Winter,1
29.2,68,19.1,1013.2,Spring,0
18.2,85,20.0,1017.9,Autumn,1
24.3,69,3.8,994.1,Winter,0
29.7,27,18.9,1021.4,Spring,0
39.2,29,38.5,1039.5,Autumn,0
35.7,85,32.4,995.3,Autumn,1
31.9,92,8.2,1020.6,Spring,0
23.8,23,29.0,1018.7,Autumn,0
23.9,20,37.7,998.6,Summer,0
20.7,84,2.1,995.7,Summer,0
22.0,67,10.6,1009.4,Autumn,1
24.7,86,10.3,981.9,Summer,0
32.8,65,13.1,1016.5,Summer,1
19.6,85,4.6,1025.4,Spring,1
27.0,29,25.7,1041.9,Summer,0
27.8,63,34.5,986.7,Winter,0
36.4,31,15.6,984.6,Autumn,0
34.5,80,17.0,999.0,Winter,1
37.5,48,16.4,986.0,Summer,0
17.0,95,17.6,1015.4,Summer,1
15.9,93,30.9,1047.5,Spring,0
30.8,32,6.3,991.5,Autumn,0
15.1,43,16.9,1041.9,Autumn,0
18.8,83,26.2,1013.4,Autumn,1
21.2,60,2.6,1033.2,Autumn,1
25.1,44,19.9,1049.3,Winter,0
21.0,78,37.2,1007.1,Summer,0
30.4,55,33.3,1036.7,Autumn,0
21.9,57,29.3,990.9,Summer,1
27.5,20,2.6,1032.1,Spring,0
5.9,49,15.3,1006.4,Summer,0
9.8,29,26.1,1014.8,Spring,0
30.0,61,30.3,1049.0,Winter,0
35.8,37,3.4,1000.7,Winter,0
33.4,63,33.1,1036.4,Summer,1
35.4,81,13.1,1036.8,Summer,0
