Voltage,Current,Temperature,Vibration,Fault
221.15,12.57,88.78,4.54,1
242.47,6.58,96.3,9.4,1
220.29,1.6,94.9,0.25,1
223.85,6.7,93.04,5.12,1
248.29,5.16,67.29,0.02,0
238.69,4.0,72.75,3.5,0
246.08,12.2,93.51,7.35,1
231.0,4.18,93.64,8.4,1
239.08,8.8,65.21,6.73,0
246.97,12.76,42.02,5.48,0
223.66,0.16,52.04,5.92,0
241.75,2.7,31.61,7.02,1
246.01,12.5,26.66,7.45,1
228.88,10.73,72.91,8.95,1
232.63,6.88,34.46,7.38,1
248.58,14.04,91.53,9.88,1
232.66,5.51,31.88,3.33,0
217.98,3.14,57.08,3.7,0
216.98,9.46,84.71,7.14,1
218.46,2.81,73.77,1.6,0
215.85,4.38,51.53,9.59,1
241.06,1.08,45.39,8.02,1
221.13,11.07,86.07,7.43,1
218.97,8.72,90.73,8.79,1
242.36,3.8,49.26,8.72,1
235.57,14.37,61.55,3.94,0
219.82,11.4,68.78,6.41,0
227.9,4.33,55.32,5.02,0
216.24,1.38,36.37,6.58,0
232.92,8.34,74.67,9.65,1
225.68,4.76,43.57,3.68,0
226.19,3.81,94.23,0.6,1
214.74,1.09,61.58,9.51,1
228.8,13.41,96.94,2.77,1
240.54,11.22,27.26,0.68,0
243.72,1.48,82.38,2.16,1
248.4,12.09,73.98,0.32,0
237.61,11.91,99.49,4.32,1
247.3,1.45,28.66,2.78,0
243.01,9.01,93.01,4.86,1
233.52,9.63,99.94,9.82,1
232.68,4.37,45.07,5.75,0
245.39,8.33,56.56,1.04,0
215.34,7.65,82.15,0.92,1
238.52,7.11,90.39,3.18,1
226.68,10.09,72.66,5.12,0
211.91,12.03,72.63,6.57,0
248.65,6.19,78.24,8.17,1
240.12,2.83,48.32,4.52,0
249.43,13.04,36.52,1.77,0
214.77,14.38,65.5,9.46,1
238.3,5.41,51.96,5.61,0
234.38,6.54,52.92,5.11,0
244.75,13.57,58.71,7.49,1
248.25,7.07,26.75,3.86,0
228.44,9.32,33.33,0.09,0
238.87,7.91,55.6,0.43,0
233.23,12.59,22.89,9.61,1
240.06,0.82,48.66,8.95,1
236.66,8.54,49.44,2.78,0
228.33,14.61,71.57,6.74,0
212.62,2.63,67.66,0.18,0
248.6,0.18,58.63,5.6,0
210.92,7.83,72.78,1.53,0
229.63,12.27,94.68,8.03,1
242.3,1.43,42.49,8.75,1
211.03,9.35,30.54,5.11,0
237.41,13.01,51.9,5.64,0
249.02,10.1,67.22,4.84,0
237.34,5.92,50.37,0.99,0
220.58,12.75,33.92,9.93,1
245.93,12.53,62.48,5.89,0
245.11,2.44,66.13,3.29,0
232.34,11.86,24.51,4.8,0
237.29,1.27,51.2,2.94,0
222.08,7.24,90.94,8.51,1
213.15,8.2,88.07,7.07,1
244.76,14.32,47.97,4.83,0
243.3,3.99,24.62,3.87,0
241.66,12.46,88.56,2.15,1
233.3,8.73,46.62,4.27,0
240.57,1.51,23.3,4.58,0
232.25,14.7,54.94,0.64,0
231.34,6.2,52.89,4.09,0
248.22,7.83,60.78,6.97,0
215.15,1.3,72.58,0.61,0
221.41,14.09,79.94,8.28,1
223.62,8.45,36.87,3.69,0
243.75,4.08,96.65,0.6,1
236.18,6.88,97.11,0.33,1
237.04,1.07,86.38,6.35,1
212.04,7.34,85.93,2.91,1
232.37,2.5,78.09,2.61,0
249.31,4.39,50.87,3.36,0
244.41,8.06,59.08,4.04,0
217.74,0.7,35.52,2.42,0
241.22,3.44,90.98,1.85,1
240.02,10.85,48.26,4.3,0
239.96,11.98,57.39,5.24,0
226.1,3.08,32.79,1.84,0
244.24,13.14,31.89,7.42,1
222.54,7.5,70.31,7.79,1
214.63,1.15,47.72,1.15,0
243.3,9.42,52.38,2.74,0
238.37,2.09,79.21,9.55,1
229.52,8.86,60.99,3.6,0
210.22,12.35,74.95,1.47,0
247.89,10.43,89.85,8.81,1
247.8,7.45,99.51,7.18,1
224.14,9.58,49.27,3.0,0
216.75,4.46,24.95,2.68,0
211.56,11.11,69.66,4.98,0
217.11,1.88,95.49,0.72,1
220.48,13.92,51.06,8.49,1
240.73,0.6,80.23,3.0,1
247.31,11.94,64.27,1.02,0
211.75,8.64,50.82,8.5,1
240.03,4.76,94.7,3.48,1
232.47,6.42,60.32,0.07,0
230.45,14.57,57.52,1.66,0
247.8,0.85,41.3,1.05,0
232.08,4.63,89.19,8.46,1
223.47,10.21,68.87,3.66,0
211.04,4.74,66.44,5.29,0
228.93,10.15,94.27,3.56,1
232.46,9.35,65.37,5.36,0
228.45,9.85,30.12,6.2,0
247.95,0.13,52.96,8.62,1
230.36,6.47,48.96,2.59,0
216.25,2.66,59.41,5.79,0
217.23,3.93,81.6,5.68,1
244.34,1.34,26.72,7.07,1
222.56,8.01,93.69,9.76,1
249.1,7.58,59.13,4.63,0
249.69,9.0,35.55,3.54,0
225.7,1.03,21.14,5.51,0
217.91,1.28,53.28,5.93,0
215.23,14.18,87.23,7.14,1
230.06,1.57,30.23,2.3,0
233.33,4.93,72.58,9.89,1
239.18,9.77,39.62,0.51,0
249.08,2.75,66.24,5.29,0
222.78,6.4,63.29,2.79,0
228.0,8.56,72.21,0.77,0
223.89,7.56,70.57,6.64,0
221.4,9.72,78.65,4.18,0
211.63,8.34,85.1,7.22,1
232.52,1.67,53.6,9.69,1
219.9,3.99,66.11,1.7,0
238.28,1.15,47.57,4.07,0
223.17,5.35,53.5,6.46,0
231.23,14.62,55.42,3.14,0
230.66,10.3,69.62,4.95,0
217.71,10.35,52.96,9.99,1
224.65,12.54,32.6,3.96,0
240.42,11.98,91.89,9.77,1
222.35,9.61,72.21,0.75,0
216.44,12.51,87.56,0.73,1
217.04,9.84,67.78,8.52,1
219.41,14.82,66.5,7.29,1
211.88,10.22,49.06,4.46,0
212.91,2.21,94.45,4.56,1
212.46,6.19,75.86,6.42,0
219.71,9.2,24.53,6.47,0
217.69,1.11,76.7,9.92,1
247.9,12.8,88.69,5.94,1
215.16,10.03,96.88,5.68,1
249.7,14.66,92.16,3.55,1
221.37,2.95,95.6,7.67,1
228.77,0.8,58.34,3.8,0
248.51,14.89,52.48,0.6,0
226.26,2.19,39.49,3.1,0
221.14,1.8,98.53,5.58,1
227.92,6.39,96.97,6.37,1
227.38,6.2,75.51,6.35,0
220.77,7.18,59.03,1.92,0
221.79,5.76,46.7,2.02,0
212.08,12.99,23.87,4.77,0
233.12,8.51,27.15,1.82,0
237.65,2.41,44.51,6.83,0
211.22,2.58,62.9,0.83,0
210.2,1.68,99.89,6.74,1
216.31,12.11,36.09,2.88,0
238.46,2.28,27.32,0.19,0
228.07,5.33,51.44,0.59,0
218.03,5.03,85.79,2.61,1
220.85,9.19,82.33,7.62,1
240.2,11.51,63.19,2.1,0
226.3,1.47,73.69,9.61,1
229.22,7.05,83.08,5.87,1
244.09,8.95,48.29,5.46,0
220.19,5.16,88.69,4.33,1
239.63,10.55,63.98,1.24,0
242.9,14.32,48.14,2.66,0
247.19,5.39,61.1,4.69,0
226.64,3.72,44.0,6.2,0
241.65,8.86,78.52,4.56,0
217.71,11.73,37.71,9.27,1
239.96,13.0,32.11,9.7,1
212.63,14.74,70.13,3.01,0
235.68,9.93,27.96,5.8,0
239.53,12.36,73.34,4.6,0
241.18,0.86,20.53,3.37,0
222.8,2.68,59.75,7.43,1
217.5,0.75,59.56,8.79,1
225.76,4.24,96.19,5.23,1
217.26,8.57,91.13,0.15,1
247.74,4.61,48.48,9.59,1
233.97,1.49,67.74,9.01,1
215.17,11.85,68.36,7.53,1
212.96,13.21,66.86,1.07,0
211.95,13.72,99.19,6.85,1
242.91,3.28,31.1,8.57,1
216.49,10.12,24.94,3.43,0
220.87,3.5,90.68,1.61,1
242.73,5.35,98.36,0.2,1
217.24,10.79,61.16,3.97,0
212.7,6.67,43.46,9.4,1
244.54,5.85,47.0,3.64,0
226.73,11.91,36.66,2.65,0
226.07,14.8,72.02,6.32,0
217.52,7.14,72.16,2.31,0
220.6,0.72,50.75,7.38,1
244.02,4.31,41.84,5.16,0
245.67,9.36,25.75,5.79,0
240.9,6.48,63.4,1.46,0
235.28,2.15,35.96,5.38,0
245.42,13.23,99.86,3.65,1
210.52,4.9,97.66,5.38,1
220.47,10.86,23.18,1.43,0
247.45,7.87,80.82,9.31,1
237.22,2.89,50.82,0.71,0
213.32,12.07,72.64,0.62,0
248.41,5.76,62.4,6.83,0
214.47,4.03,76.72,0.33,0
243.97,13.12,54.69,5.8,0
218.42,10.2,70.22,4.51,0
228.47,2.7,23.06,1.43,0
233.25,3.43,29.54,1.48,0
215.87,6.4,55.05,2.03,0
249.57,11.22,45.24,0.34,0
230.11,0.98,97.79,9.03,1
228.61,10.65,75.91,0.14,0
212.19,1.33,55.83,7.67,1
245.36,6.34,84.38,8.31,1
246.64,6.44,89.5,3.4,1
233.65,12.05,26.0,5.25,0
245.99,6.08,48.18,6.13,0
217.19,11.94,89.26,4.22,1
224.83,1.48,27.15,6.48,0
212.13,11.37,73.18,8.87,1
222.19,10.46,93.59,3.46,1
226.11,12.93,47.71,8.81,1
235.82,0.76,20.81,6.86,0
243.16,8.79,93.09,8.1,1
227.15,7.5,42.11,5.42,0
243.74,9.65,98.6,5.18,1
243.93,0.29,54.11,5.11,0
224.23,2.36,75.28,4.2,0
238.59,5.76,92.32,1.88,1
233.25,13.68,89.27,1.72,1
224.75,3.7,74.31,7.65,1
248.0,0.26,63.71,5.96,0
215.23,1.22,55.22,6.33,0
211.16,8.39,56.99,3.62,0
246.86,14.4,72.21,3.73,0
249.92,10.23,82.15,5.09,1
244.99,13.47,40.84,9.23,1
231.71,7.96,64.21,4.73,0
246.92,8.41,64.82,5.78,0
233.99,9.68,60.83,2.88,0
212.26,5.66,34.53,0.53,0
245.17,11.43,96.41,9.3,1
218.44,2.27,68.88,7.95,1
248.89,11.76,42.54,0.44,0
236.24,13.53,28.17,6.36,0
216.18,5.35,45.13,0.99,0
221.83,13.08,60.9,0.56,0
247.9,3.43,44.54,3.35,0
213.27,5.17,91.15,1.8,1
211.08,0.59,75.57,5.49,0
235.81,2.81,56.27,6.85,0
214.39,11.95,71.38,3.05,0
217.19,2.86,44.88,6.9,0
217.07,10.2,44.61,5.88,0
244.4,0.25,34.72,7.83,1
234.71,5.21,48.54,6.77,0
237.11,3.34,33.25,5.23,0
215.52,9.43,54.35,5.02,0
226.33,0.54,91.35,5.03,1
244.73,5.74,69.36,7.8,1
243.79,0.98,25.86,1.0,0
221.5,1.67,79.38,2.49,0
238.94,2.09,50.11,9.07,1
238.08,12.25,56.29,2.75,0
219.59,10.42,58.93,5.45,0
235.19,10.28,46.35,0.12,0
237.94,6.49,44.44,9.68,1
213.16,13.59,66.68,5.71,0
229.79,3.98,23.43,8.82,1
215.0,5.84,56.01,6.57,0
210.92,3.61,56.92,1.84,0
230.47,10.02,90.58,0.67,1
223.96,2.85,40.23,2.59,0
210.7,8.4,58.22,2.32,0
248.11,14.18,38.14,5.76,0
212.15,6.71,87.54,2.06,1
215.64,13.34,21.65,0.42,0
249.41,7.31,24.38,0.04,0
238.88,14.65,38.79,9.01,1
223.71,4.91,42.1,2.25,0
235.64,8.16,70.02,0.24,0
234.02,0.44,51.86,5.73,0
235.46,7.56,77.29,8.85,1
220.81,3.1,37.69,4.16,0
214.46,6.96,55.5,6.89,0
214.79,0.45,33.78,8.28,1
213.79,12.89,77.03,2.84,0
239.3,9.96,43.61,5.51,0
218.55,4.5,99.41,4.36,1
232.49,7.15,25.28,1.61,0
226.65,9.36,37.51,5.4,0
231.42,12.33,86.65,3.09,1
230.41,6.42,39.15,5.03,0
217.14,11.22,40.62,8.8,1
216.15,11.92,72.9,6.8,0
236.81,9.14,74.74,7.52,1
210.2,14.19,24.32,1.27,0
221.18,9.57,74.59,6.45,0
230.54,4.77,34.69,3.18,0
232.44,11.33,72.98,4.42,0
221.71,0.41,92.15,6.86,1
230.0,10.79,73.48,9.49,1
229.22,12.53,67.52,2.61,0
237.35,7.34,87.68,7.01,1
210.71,9.26,32.01,0.88,0
223.04,12.33,58.09,0.53,0
237.29,5.21,65.82,2.77,0
249.86,9.87,98.44,8.11,1
226.92,2.54,29.23,6.87,0
243.84,1.44,95.51,6.52,1
246.64,9.41,51.29,5.25,0
240.69,6.68,27.58,0.07,0
211.26,8.07,61.76,7.21,1
248.16,2.56,89.43,7.23,1
213.84,7.15,40.08,5.3,0
213.1,10.49,67.54,7.61,1
214.23,9.49,76.22,1.23,0
215.42,3.39,57.03,5.8,0
213.04,10.54,93.24,2.08,1
239.57,8.9,32.77,4.99,0
215.19,14.49,25.91,9.65,1
219.41,11.19,21.79,5.18,0
246.84,2.66,21.13,5.94,0
241.15,1.31,41.81,1.27,0
236.5,5.97,23.27,1.83,0
242.11,13.08,71.69,5.93,0
230.09,6.09,56.87,8.93,1
221.34,10.99,68.01,9.24,1
238.98,1.17,24.27,8.79,1
212.44,12.4,51.35,7.86,1
229.42,3.47,29.02,6.8,0
217.4,0.19,31.08,3.05,0
246.16,4.06,80.24,2.12,1
214.27,9.91,92.84,3.65,1
241.37,7.59,72.43,6.34,0
223.22,0.5,53.37,5.67,0
213.67,8.59,28.94,1.18,0
213.41,3.36,64.22,0.03,0
224.41,4.29,48.05,1.15,0
246.56,1.78,92.29,8.26,1
241.92,14.72,84.19,3.8,1
223.98,9.9,88.98,6.98,1
241.24,13.24,82.55,4.52,1
248.91,4.43,64.08,2.09,0
225.56,2.6,82.39,6.16,1
218.66,3.15,24.19,4.34,0
247.23,3.09,39.55,5.12,0
249.96,13.77,25.14,8.34,1
233.44,9.44,80.86,6.18,1
244.59,1.11,43.99,6.61,0
226.23,4.67,54.06,7.6,1
221.22,10.98,41.99,4.47,0
216.05,1.12,42.25,0.52,0
234.54,3.98,28.98,3.05,0
236.95,4.63,69.15,6.05,0
227.81,7.38,93.39,1.14,1
220.13,1.71,44.67,5.83,0
215.92,4.09,61.12,4.08,0
236.4,14.41,20.11,6.51,0
232.99,13.96,81.25,3.15,1
216.25,1.58,76.04,2.28,0
249.72,12.8,21.11,5.83,0
236.73,8.71,45.77,8.85,1
246.6,5.1,86.34,0.5,1
210.47,0.07,90.95,0.94,1
249.86,13.21,64.02,7.18,1
223.35,2.26,35.9,3.69,0
243.36,0.86,82.36,7.09,1
220.04,9.05,36.43,9.25,1
231.61,14.94,53.15,7.3,1
238.2,13.26,20.61,8.13,1
227.43,10.08,70.93,8.09,1
218.22,4.21,42.14,2.03,0
243.3,11.79,50.53,1.96,0
219.34,5.98,71.08,1.45,0
217.2,0.89,43.15,8.87,1
220.32,9.59,88.69,3.44,1
212.64,9.65,78.72,2.61,0
232.59,6.42,99.46,9.72,1
215.77,6.19,88.63,4.04,1
241.37,1.77,70.11,6.23,0
212.04,6.85,84.87,2.35,1
218.42,3.04,74.35,3.83,0
217.93,1.84,69.74,8.52,1
248.12,11.85,55.47,6.0,0
247.48,14.74,46.26,9.02,1
246.4,5.11,94.52,7.05,1
248.4,11.86,81.44,1.0,1
211.65,10.02,23.84,0.29,0
215.68,2.03,67.67,4.88,0
223.49,14.11,85.5,0.27,1
228.77,1.98,56.29,9.75,1
215.04,7.08,35.41,9.03,1
246.57,4.97,46.01,7.66,1
232.94,11.19,32.72,1.74,0
237.16,13.66,70.43,4.73,0
234.38,10.27,58.7,4.88,0
237.47,3.81,81.28,6.82,1
244.35,1.52,47.9,4.19,0
229.43,14.19,28.12,3.42,0
227.31,1.78,72.82,4.94,0
226.91,3.1,44.21,1.34,0
244.56,1.74,85.2,4.99,1
211.7,3.28,49.46,3.0,0
222.47,14.09,95.65,0.84,1
225.4,9.01,31.48,9.91,1
228.05,4.25,87.46,9.97,1
230.75,10.28,52.41,1.59,0
229.87,4.54,69.25,6.79,0
241.57,7.32,81.54,7.85,1
243.02,7.53,56.34,8.07,1
239.77,14.51,33.83,2.84,0
225.38,1.61,62.85,5.54,0
217.46,5.49,89.49,2.49,1
225.96,1.2,82.09,7.44,1
243.32,9.7,65.74,8.62,1
246.31,10.59,47.02,0.94,0
240.45,3.51,83.76,8.42,1
219.35,12.08,40.96,4.36,0
223.82,1.63,74.03,4.9,0
245.32,11.54,59.35,1.91,0
212.97,12.03,43.42,5.4,0
213.64,3.21,68.76,8.71,1
236.49,10.84,62.28,0.72,0
244.98,10.33,78.99,8.09,1
244.59,8.77,24.77,1.38,0
239.47,7.3,90.81,7.96,1
218.52,1.9,64.03,0.94,0
231.25,3.9,54.29,1.22,0
244.12,1.54,82.35,2.16,1
229.93,4.3,80.04,8.53,1
210.56,3.47,59.79,4.99,0
241.12,8.65,87.15,7.22,1
211.83,2.77,33.31,5.19,0
217.09,9.11,62.15,6.86,0
233.66,2.51,59.17,7.65,1
219.41,14.17,27.3,6.96,0
243.98,0.34,31.62,8.72,1
242.96,10.38,54.3,0.05,0
215.72,0.43,36.42,0.61,0
223.73,2.15,22.95,6.8,0
235.43,11.37,71.95,7.65,1
216.7,12.35,38.86,6.64,0
222.67,3.11,56.65,0.13,0
234.59,10.58,86.82,8.98,1
235.7,2.11,30.73,3.91,0
241.3,4.59,56.55,7.58,1
249.92,2.54,72.33,1.35,0
244.07,4.5,58.65,7.54,1
233.79,11.45,69.22,8.29,1
235.85,8.75,71.48,5.86,0
227.81,3.19,47.77,5.98,0
247.69,13.52,76.9,9.4,1
213.14,6.69,65.69,5.79,0
242.84,3.81,32.61,7.42,1
244.72,2.02,62.1,3.08,0
240.37,5.24,33.28,6.19,0
243.17,13.37,80.51,2.12,1
237.13,3.18,90.43,4.91,1
230.8,4.77,48.8,4.4,0
241.55,0.72,57.01,6.83,0
226.49,5.51,94.37,7.05,1
244.35,8.41,52.35,9.7,1
236.92,12.03,52.84,1.69,0
224.43,11.31,80.16,7.56,1
242.29,11.57,88.92,9.9,1
236.82,3.2,97.17,3.06,1
235.45,7.68,31.5,3.87,0
211.93,10.68,24.88,7.25,1
233.86,13.71,58.72,3.56,0
245.68,5.12,90.93,3.72,1
221.01,3.78,94.4,6.9,1
242.7,14.63,47.99,0.51,0
219.62,11.12,31.64,1.1,0
225.74,4.31,49.06,8.17,1
248.08,12.05,31.93,5.82,0
248.43,1.87,55.92,2.58,0
224.29,11.52,81.75,7.7,1
212.17,2.58,20.53,1.89,0
246.59,11.53,21.26,0.22,0
245.09,6.29,48.12,2.75,0
249.81,0.8,65.27,9.75,1
246.19,7.32,44.1,4.49,0
222.07,10.33,99.63,2.09,1
211.98,1.36,90.98,9.15,1
245.8,10.1,45.95,9.88,1
216.65,4.78,65.83,5.8,0
239.13,2.77,57.97,6.59,0
219.38,6.78,73.8,1.28,0
245.09,0.58,45.66,1.05,0
219.63,0.99,70.7,7.71,1
218.03,14.81,73.26,5.8,0
235.19,0.14,83.33,8.29,1
226.81,1.97,87.08,1.56,1
248.17,14.15,78.64,0.03,0
245.72,4.16,49.12,5.1,0
211.47,2.53,66.42,8.54,1
243.43,7.9,79.13,2.68,0
215.16,10.96,61.93,5.43,0
210.58,5.32,21.96,6.67,0
241.66,6.65,61.54,3.45,0
223.31,12.47,72.64,8.48,1
228.21,10.65,31.45,5.56,0
246.68,8.37,87.94,6.37,1
220.24,0.62,64.2,1.23,0
237.03,8.01,80.06,9.89,1
242.75,4.03,75.34,2.68,0
222.33,0.79,22.98,5.16,0
247.49,6.83,30.56,5.6,0
231.62,3.91,64.04,8.09,1
221.17,5.97,32.07,6.99,0
222.94,13.85,93.62,1.5,1
220.41,1.71,29.87,2.83,0
212.96,1.79,87.05,2.06,1
217.08,5.65,77.35,8.03,1
219.96,7.26,42.39,3.81,0
232.48,2.21,42.97,8.6,1
239.12,5.14,77.81,0.33,0
248.81,0.26,45.12,5.45,0
210.79,8.09,65.41,3.05,0
214.47,0.61,74.56,1.16,0
225.28,6.07,99.05,8.58,1
232.76,12.19,46.69,2.93,0
220.6,6.85,37.16,7.79,1
229.5,4.81,59.91,3.38,0
235.78,0.56,47.47,3.11,0
223.81,12.17,94.54,0.49,1
232.85,12.27,79.39,2.3,0
245.93,12.49,77.49,6.89,0
241.42,1.11,50.03,8.98,1
215.99,14.81,79.65,0.74,0
217.43,14.81,31.82,3.66,0
247.45,2.57,37.57,9.13,1
238.06,13.49,24.0,6.92,0
242.94,0.77,78.48,4.17,0
213.78,14.53,38.79,6.44,0
224.42,0.76,85.52,6.44,1
236.58,14.85,51.69,7.48,1
224.02,14.09,75.0,1.79,0
217.02,2.26,97.51,0.23,1
213.49,3.51,45.5,0.16,0
246.12,3.26,41.29,7.98,1
241.84,10.54,25.37,7.93,1
221.93,0.67,35.04,7.09,1
226.56,3.76,85.16,7.92,1
232.19,6.02,81.47,9.26,1
240.97,11.42,69.37,3.13,0
246.85,1.14,48.3,9.69,1
228.11,3.17,64.09,1.73,0
213.77,2.58,59.09,9.53,1
245.51,6.55,77.02,7.57,1
210.35,8.56,61.52,4.05,0
235.39,7.72,98.99,1.19,1
242.4,9.74,40.13,8.55,1
239.97,4.46,62.98,0.11,0
215.43,12.31,75.32,3.87,0
210.59,8.04,25.96,2.92,0
243.98,8.1,95.06,5.18,1
223.46,0.7,55.77,6.4,0
229.89,4.83,78.03,4.81,0
227.82,13.93,48.72,6.61,0
214.85,2.92,83.32,1.15,1
235.01,6.39,28.82,6.31,0
238.98,5.96,86.44,3.95,1
249.21,2.66,67.33,9.59,1
211.15,11.38,24.88,3.44,0
243.75,0.83,92.2,7.89,1
237.42,13.78,95.82,6.94,1
214.98,11.65,36.69,8.21,1
230.7,14.97,80.53,3.88,1
222.33,14.42,82.85,9.19,1
219.18,9.42,35.13,7.19,1
228.33,2.11,87.67,6.35,1
244.01,12.96,86.45,4.54,1
242.93,1.35,97.77,9.18,1
222.68,2.24,22.57,6.43,0
231.12,1.11,40.63,7.27,1
219.01,13.36,67.14,3.0,0
222.02,8.08,81.83,3.69,1
249.08,10.65,73.05,7.32,1
222.78,7.7,34.21,9.75,1
246.0,2.8,67.73,4.08,0
247.66,14.0,72.02,3.17,0
225.18,0.76,34.49,0.92,0
219.32,2.87,72.65,3.42,0
212.37,11.48,66.27,4.8,0
242.21,9.68,57.08,0.32,0
210.55,12.95,94.19,4.37,1
249.54,2.78,53.38,8.7,1
219.51,11.9,82.97,2.63,1
223.23,2.68,44.93,1.86,0
232.17,14.25,94.84,8.09,1
217.59,9.6,97.95,9.93,1
220.33,1.31,43.05,5.24,0
219.29,13.2,38.98,3.01,0
227.35,4.03,28.63,5.38,0
234.46,1.57,70.79,6.54,0
233.91,13.49,30.56,8.74,1
218.64,11.11,62.17,7.35,1
222.4,14.71,76.31,5.26,0
247.73,8.05,65.82,8.32,1
216.62,8.39,54.66,6.68,0
239.44,13.52,86.7,7.57,1
247.12,1.39,32.96,4.79,0
230.55,7.92,28.69,3.37,0
219.86,9.06,69.88,9.51,1
249.68,2.08,87.8,6.32,1
228.94,8.6,92.21,0.48,1
218.83,9.18,25.4,0.76,0
229.62,0.56,78.93,9.05,1
215.89,9.32,93.32,4.03,1
242.02,0.82,83.64,2.98,1
213.4,11.88,65.16,3.66,0
216.69,5.3,23.83,0.04,0
225.74,1.05,34.37,3.77,0
220.62,3.78,54.5,3.96,0
212.06,4.17,29.05,3.36,0
238.23,14.51,45.41,4.69,0
227.76,12.06,31.97,9.17,1
238.26,3.6,81.08,8.94,1
247.62,9.12,47.72,6.42,0
246.39,14.99,57.68,8.32,1
215.51,1.35,63.01,0.49,0
232.47,11.74,34.93,4.86,0
215.11,7.89,95.66,7.39,1
238.65,12.09,73.56,6.45,0
241.95,6.68,22.32,7.16,1
225.69,3.71,20.71,4.57,0
218.64,2.31,30.52,1.28,0
213.4,11.08,81.34,4.7,1
215.17,14.44,42.79,3.06,0
231.77,1.28,52.76,6.84,0
239.56,7.19,62.54,3.52,0
217.46,12.65,35.84,5.64,0
229.25,5.76,48.69,3.95,0
249.98,9.65,36.79,3.41,0
246.61,3.98,52.99,1.7,0
233.61,4.02,30.73,6.23,0
227.25,9.26,54.52,2.8,0
219.72,3.58,92.3,4.71,1
222.88,12.88,25.6,9.25,1
241.64,7.5,36.89,7.51,1
248.77,11.55,74.23,1.48,0
237.51,14.71,76.41,2.55,0
215.16,3.18,81.28,1.29,1
239.41,3.85,48.45,6.47,0
215.04,13.44,51.55,6.8,0
215.67,8.38,33.3,5.08,0
216.8,9.42,40.44,2.65,0
246.64,8.5,53.47,9.45,1
223.32,8.29,97.97,9.35,1
217.31,12.87,31.92,0.78,0
249.08,8.56,99.36,8.21,1
234.65,5.41,97.35,9.34,1
222.92,4.98,69.35,9.24,1
218.12,6.77,40.0,9.21,1
248.15,1.45,79.4,0.84,0
233.42,0.4,78.04,2.69,0
226.69,14.28,94.38,1.15,1
236.63,13.61,75.73,0.12,0
248.43,12.15,87.28,3.58,1
232.43,5.03,41.71,2.32,0
240.08,13.96,20.39,6.37,0
237.19,9.92,24.92,7.12,1
240.53,7.29,86.37,8.84,1
213.05,5.15,27.58,0.99,0
231.44,0.64,59.71,3.04,0
238.11,12.63,73.03,2.61,0
219.23,3.52,60.77,1.74,0
