Area_sqft,Bedrooms,Bathrooms,City_Tier,Furnishing,Price
3579,4,1,1,Furnished,10846224.05
4141,4,1,1,Unfurnished,20108009.45
1832,2,1,1,Unfurnished,6591280.81
4944,4,4,1,Semi-Furnished,37692175.29
3242,2,3,1,Semi-Furnished,20129645.63
1421,5,3,2,Semi-Furnished,5384433.26
3193,1,4,2,Furnished,27514905.16
4949,4,1,3,Unfurnished,18939526.7
951,1,4,3,Unfurnished,3058991.51
3654,3,2,2,Furnished,17079469.56
2089,3,4,2,Unfurnished,6176539.72
2957,1,1,2,Semi-Furnished,11784687.56
3966,3,1,3,Unfurnished,13449599.8
3566,2,4,2,Furnished,14200535.8
4779,3,4,1,Furnished,27981415.1
4117,4,2,2,Furnished,20602419.99
4317,5,4,1,Semi-Furnished,42277781.65
3857,5,2,1,Semi-Furnished,14235044.98
3732,1,1,3,Semi-Furnished,22172508.72
2971,2,1,3,Furnished,15609493.01
4412,3,2,3,Semi-Furnished,22164820.1
1181,4,4,3,Unfurnished,7999260.79
3695,3,4,1,Furnished,29500543.81
1139,4,2,1,Unfurnished,8500464.61
3620,4,2,3,Furnished,12302673.99
2947,4,2,3,Furnished,15055029.57
2370,3,2,2,Unfurnished,20357056.54
1557,1,1,3,Semi-Furnished,9453560.86
1186,1,2,3,Furnished,3253806.58
1814,4,3,1,Unfurnished,17355403.82
1743,4,4,2,Unfurnished,15261535.16
3654,4,3,3,Furnished,21152601.42
1854,2,4,1,Unfurnished,4593460.1
3928,5,1,2,Unfurnished,22438914.27
3538,2,3,1,Semi-Furnished,13106051.98
4748,2,4,1,Furnished,19412579.88
3904,5,2,2,Furnished,22139795.76
1807,3,3,1,Semi-Furnished,4572939.99
805,1,1,1,Unfurnished,3352557.24
3243,4,1,1,Furnished,21669251.43
1323,5,4,1,Semi-Furnished,7564296.09
4450,4,1,3,Furnished,41303793.37
4442,2,3,3,Unfurnished,15494518.29
2152,1,2,3,Furnished,4913708.12
4298,2,3,2,Semi-Furnished,11096268.46
531,2,3,1,Unfurnished,3999201.63
3654,1,3,1,Unfurnished,10386612.41
1310,5,1,2,Unfurnished,3618050.2
680,1,3,1,Semi-Furnished,6662917.77
3008,3,1,2,Furnished,7022827.67
3187,5,4,3,Unfurnished,12068597.7
1975,4,2,2,Unfurnished,6288027.03
4926,2,2,3,Semi-Furnished,44345710.02
1591,3,2,3,Semi-Furnished,11642367.47
4494,2,3,2,Unfurnished,9403095.04
3626,3,1,1,Furnished,17160715.94
4979,5,2,2,Furnished,35723328.79
3641,2,2,2,Semi-Furnished,19907467.59
4640,1,1,3,Semi-Furnished,42383763.72
1459,2,1,3,Semi-Furnished,2925821.98
1853,2,3,3,Unfurnished,6980229.77
4784,4,1,3,Unfurnished,20018548.37
3763,1,1,1,Semi-Furnished,13834539.1
4809,4,1,3,Furnished,40995377.95
1218,4,4,3,Unfurnished,2856225.38
2834,1,3,3,Unfurnished,9776920.77
1833,4,1,3,Semi-Furnished,13505448.89
1878,2,3,1,Furnished,3867553.97
1509,5,3,3,Semi-Furnished,9014703.09
2914,4,2,2,Semi-Furnished,25901397.15
1379,5,1,2,Semi-Furnished,13503935.43
4706,5,2,1,Furnished,10544539.06
3619,5,2,3,Furnished,22961640.56
2478,4,2,1,Semi-Furnished,23652653.31
2176,3,3,2,Furnished,11704537.14
1412,2,4,2,Unfurnished,7072744.2
4838,2,2,3,Semi-Furnished,40265233.05
3084,2,4,1,Unfurnished,21052833.77
1899,5,4,2,Semi-Furnished,10884338.4
4719,1,2,2,Unfurnished,11684435.28
2291,2,3,1,Furnished,14192105.72
2370,2,3,1,Furnished,20193373.39
2562,3,3,3,Semi-Furnished,7888201.04
4597,4,1,1,Unfurnished,41246912.72
2392,2,1,1,Furnished,13048130.29
2991,5,3,2,Furnished,17269718.17
2122,1,4,2,Furnished,6582047.83
3567,5,1,2,Furnished,33739526.27
3566,5,4,3,Furnished,32965305.4
4935,4,2,3,Unfurnished,24073352.52
4206,4,4,1,Unfurnished,28993512.14
4091,4,1,2,Furnished,13011491.59
906,1,4,1,Furnished,4822814.6
689,1,1,3,Unfurnished,4080991.0
2057,2,2,1,Unfurnished,4452524.66
4074,2,3,3,Unfurnished,12341955.63
4120,4,1,2,Furnished,38669264.0
3798,2,3,3,Unfurnished,22009040.22
2375,5,4,1,Furnished,11552348.59
1513,3,2,3,Semi-Furnished,6796154.28
855,2,1,2,Semi-Furnished,5798756.48
2590,4,1,2,Furnished,14275693.31
1051,1,2,3,Unfurnished,5696718.86
2395,1,2,2,Unfurnished,20756359.13
2473,3,2,2,Furnished,8569544.16
1364,3,2,1,Semi-Furnished,6283662.39
1310,5,2,1,Furnished,6399170.09
3158,1,4,1,Furnished,9746932.26
1583,3,4,2,Furnished,12004683.64
3504,3,4,3,Semi-Furnished,18521770.05
840,5,1,3,Semi-Furnished,5896813.34
2865,4,1,3,Unfurnished,27061005.99
4465,4,2,2,Semi-Furnished,41890789.27
3705,5,3,2,Semi-Furnished,11259397.5
4813,4,4,1,Furnished,14505618.55
4287,5,4,2,Unfurnished,42743299.57
1554,4,3,3,Semi-Furnished,3317623.49
4870,2,2,2,Semi-Furnished,29611535.77
3918,3,2,3,Unfurnished,20521773.69
3626,4,2,2,Furnished,20043110.9
2899,1,2,3,Semi-Furnished,27333560.13
4119,1,1,2,Furnished,39811765.71
1623,5,1,3,Furnished,5162792.5
2964,4,1,2,Semi-Furnished,6878158.28
1489,1,3,3,Semi-Furnished,5705874.77
3578,4,4,1,Unfurnished,18795471.0
2944,3,2,1,Unfurnished,12709141.81
1888,4,2,1,Furnished,12770958.31
2010,4,1,1,Semi-Furnished,13358735.1
4282,2,4,2,Semi-Furnished,28302115.23
1857,5,3,1,Unfurnished,9978418.11
4890,3,4,3,Semi-Furnished,32951347.22
4045,3,4,2,Semi-Furnished,19986495.77
2794,1,4,1,Semi-Furnished,27072931.54
4059,5,3,3,Unfurnished,37970710.46
4296,4,2,1,Furnished,13262185.14
4270,4,4,3,Furnished,32824831.52
4767,3,4,1,Furnished,30430900.13
1778,1,1,1,Semi-Furnished,5541396.94
1461,5,2,2,Furnished,9216642.32
2805,2,3,2,Unfurnished,17609878.56
2497,4,4,3,Semi-Furnished,9873308.69
4975,4,1,2,Semi-Furnished,23697462.02
4197,3,4,3,Unfurnished,16053066.2
2067,1,1,1,Semi-Furnished,16723010.5
4351,1,3,2,Semi-Furnished,14356973.73
2121,2,1,1,Unfurnished,16568155.22
3886,1,4,2,Unfurnished,18160726.56
2889,5,3,2,Semi-Furnished,28332843.97
674,2,3,1,Unfurnished,6722911.93
884,1,1,3,Unfurnished,8542276.16
2907,2,1,2,Furnished,25882621.72
895,5,1,2,Furnished,2779385.95
2029,2,4,1,Unfurnished,8499128.29
4409,1,4,2,Furnished,38535644.39
1368,2,1,2,Unfurnished,12582786.07
2816,1,2,2,Semi-Furnished,25989214.05
1596,3,1,1,Semi-Furnished,3276692.36
3603,4,2,3,Furnished,34049343.5
1540,4,2,1,Unfurnished,4443483.12
3706,5,1,3,Furnished,14293278.35
2519,1,1,1,Semi-Furnished,23940785.99
3302,4,3,3,Furnished,7271157.54
978,1,2,1,Unfurnished,3259807.61
4174,3,3,2,Furnished,36925460.18
3929,5,1,1,Semi-Furnished,16394291.04
2311,2,1,1,Furnished,22274509.31
1513,2,2,2,Furnished,11224386.36
1301,4,3,1,Semi-Furnished,6865447.25
1195,5,3,2,Semi-Furnished,3895356.09
3150,4,4,1,Semi-Furnished,12195290.08
3436,4,3,1,Semi-Furnished,21863486.37
3645,3,3,2,Furnished,28133187.26
1623,3,3,3,Furnished,6829410.76
1984,5,4,1,Unfurnished,6003589.63
2292,1,3,3,Semi-Furnished,4637875.56
966,3,4,2,Unfurnished,4590266.02
1774,1,2,2,Semi-Furnished,17693117.02
