Study_Hours,Attendance,Sleep_Hours,Internet_Use_Hrs,Grade
0.6,64,4.5,2.9,C
3.9,99,4.1,4.3,C
3.9,72,5.1,3.5,C
10.0,60,6.8,4.1,B
6.7,81,5.0,2.1,B
4.4,60,6.4,4.4,C
0.9,64,8.1,1.6,C
6.0,81,4.4,4.3,B
1.1,63,5.2,3.9,C
1.9,76,7.9,2.0,C
8.3,66,5.7,2.7,B
1.4,86,7.3,2.0,C
6.7,55,7.5,0.4,B
9.4,85,5.1,4.5,A
7.9,100,9.0,3.0,A
2.6,78,7.1,1.3,C
2.5,51,7.4,3.1,C
4.5,50,9.0,0.4,C
1.2,94,7.9,1.0,C
7.8,69,7.4,2.9,B
7.3,76,4.3,0.2,B
9.2,73,6.1,2.9,B
3.0,100,7.0,0.4,C
9.5,90,4.9,3.0,A
10.0,59,6.3,0.8,B
7.0,77,6.6,3.3,B
8.5,55,8.0,2.0,B
8.9,54,4.5,4.0,B
8.7,76,6.0,2.2,B
5.9,87,6.6,0.2,B
1.2,82,5.8,0.0,C
8.5,63,4.2,3.0,B
8.0,59,6.5,4.3,B
3.4,75,5.9,2.8,C
2.2,80,5.2,0.1,C
3.4,94,5.2,1.5,C
4.1,98,5.7,3.0,C
0.8,51,7.8,1.4,C
9.7,56,5.0,4.3,B
3.8,60,6.8,0.5,C
2.0,82,7.1,5.0,C
7.2,96,4.7,4.1,A
0.9,72,5.4,0.2,C
2.8,88,5.3,2.1,C
2.8,72,6.5,1.2,C
4.2,79,5.0,3.7,C
0.7,54,8.6,0.7,C
8.9,63,8.5,2.3,B
6.3,50,8.0,4.1,B
9.1,75,4.7,3.5,B
2.2,59,8.4,0.3,C
6.6,91,7.8,0.7,B
8.2,55,8.5,1.0,B
2.7,69,5.0,1.9,C
6.0,70,7.6,3.9,B
2.9,85,5.7,4.8,C
8.4,90,4.6,2.4,A
6.9,50,8.3,2.2,B
2.1,71,7.8,1.2,C
9.1,64,7.7,0.6,B
5.6,63,4.9,0.1,B
2.0,74,7.9,0.3,C
9.3,97,5.0,4.4,A
4.8,70,7.3,2.6,C
9.1,67,4.8,3.2,B
0.5,90,4.8,3.3,C
7.5,53,5.5,4.8,B
3.0,73,6.9,0.5,C
9.9,85,8.9,2.7,A
9.2,64,4.9,3.0,B
0.1,75,6.2,3.5,C
3.8,87,7.5,5.0,C
0.9,76,6.8,5.0,C
9.9,66,8.1,1.2,B
7.8,98,7.8,0.5,A
8.9,64,6.0,4.4,B
1.1,77,5.9,4.1,C
1.5,55,7.7,2.6,C
2.5,68,7.0,3.5,C
9.6,63,5.7,4.3,B
6.5,83,5.7,3.5,B
2.6,66,7.2,2.7,C
5.3,52,6.2,0.7,B
0.2,55,7.6,0.9,C
8.7,65,4.0,3.0,B
2.9,98,6.1,1.2,C
3.9,83,8.6,1.7,C
5.5,82,7.7,4.9,B
2.5,50,4.7,1.5,C
7.9,82,6.4,4.0,A
9.3,58,5.9,4.5,B
0.7,94,6.0,4.9,C
7.6,81,5.8,3.0,A
3.2,70,4.0,3.8,C
4.6,93,4.6,2.2,C
8.5,72,6.9,2.0,B
6.2,89,8.8,2.4,B
8.5,75,8.5,2.4,B
7.3,64,5.4,0.4,B
6.7,96,7.5,2.0,B
7.8,55,5.2,2.9,B
4.0,61,6.1,4.6,C
1.4,66,5.4,4.9,C
6.9,68,5.7,4.9,B
7.3,54,5.3,4.0,B
3.4,79,7.8,0.1,C
0.9,55,8.6,4.8,C
1.6,79,7.6,0.8,C
9.4,82,7.5,4.0,A
2.2,75,5.0,4.7,C
0.4,83,6.0,1.2,C
0.8,98,4.6,3.2,C
8.5,99,8.9,2.4,A
8.2,76,5.2,1.3,B
2.8,61,7.1,1.1,C
2.6,68,5.1,2.7,C
9.2,87,6.9,3.4,A
5.3,87,6.3,2.2,B
7.3,99,8.9,4.8,A
2.3,92,8.7,2.7,C
0.3,77,9.0,1.1,C
5.4,99,8.9,4.6,B
8.2,71,6.5,4.2,B
4.2,79,5.3,1.9,C
9.9,79,7.5,4.5,B
8.4,67,8.1,0.4,B
3.3,74,5.1,3.0,C
1.2,91,7.1,2.1,C
8.3,61,6.7,4.4,B
0.7,76,5.5,0.1,C
3.8,88,8.7,3.5,C
5.3,58,4.4,4.7,B
0.8,61,5.6,3.0,C
6.0,50,6.9,2.8,B
6.6,79,5.8,0.3,B
2.0,85,7.7,2.8,C
5.5,97,5.5,2.7,B
5.4,85,7.1,2.8,B
8.2,75,8.0,0.7,B
4.6,63,4.4,4.8,C
1.2,68,6.1,3.3,C
7.5,76,5.2,1.8,B
2.5,78,6.1,4.2,C
7.7,54,5.2,0.9,B
7.6,73,8.4,0.4,B
7.9,58,7.9,1.5,B
1.2,75,7.2,2.7,C
5.0,50,5.2,4.4,C
5.8,93,6.7,0.2,B
5.4,72,7.5,3.7,B
2.1,63,8.2,2.8,C
6.0,98,4.6,2.3,B
9.0,93,6.2,3.7,A
1.0,54,8.8,4.9,C
9.6,93,6.5,2.4,A
6.0,100,5.1,1.6,B
5.4,100,8.8,3.3,B
2.8,70,8.3,1.4,C
1.8,53,6.1,0.1,C
3.0,51,4.0,3.4,C
6.3,51,5.8,0.4,B
3.9,99,4.4,3.4,C
9.3,96,4.4,0.2,A
7.8,58,6.2,2.5,B
1.5,90,5.2,1.6,C
1.7,67,5.0,0.9,C
9.7,67,7.8,4.2,B
3.2,64,6.9,4.2,C
3.5,67,8.3,1.4,C
5.5,68,7.3,3.9,B
4.6,66,7.3,3.4,C
2.1,61,4.6,1.5,C
3.7,66,6.1,3.0,C
9.4,74,5.3,0.8,B
2.7,68,8.7,2.2,C
2.9,85,4.7,0.5,C
1.1,78,5.6,4.2,C
0.3,53,4.5,0.4,C
3.4,50,6.4,4.1,C
8.8,82,7.9,3.8,A
2.4,63,7.1,4.7,C
9.0,65,7.4,2.5,B
5.6,91,7.4,4.3,B
9.5,52,6.8,2.4,B
1.5,87,5.4,2.8,C
6.5,99,8.4,1.4,B
7.6,73,7.0,0.3,B
2.4,92,6.6,3.3,C
1.5,77,4.3,4.2,C
5.0,56,5.2,4.8,C
1.9,92,8.1,1.1,C
7.4,86,6.4,0.5,A
5.9,79,6.9,4.8,B
3.1,99,8.6,4.9,C
0.5,84,8.6,2.1,C
8.4,86,6.9,0.5,A
6.3,50,4.4,0.6,B
7.8,73,4.2,2.6,B
2.5,74,8.1,3.4,C
2.5,76,5.7,3.8,C
8.3,61,6.0,4.8,B
1.6,59,4.4,2.9,C
1.4,63,6.6,2.4,C
3.2,75,8.3,1.5,C
0.5,53,4.8,2.5,C
8.6,56,7.9,1.3,B
3.0,73,5.3,4.5,C
7.5,55,6.1,4.3,B
4.3,98,8.0,4.0,C
7.5,85,7.9,2.7,A
9.8,69,5.2,2.2,B
3.5,88,4.8,1.6,C
4.2,90,6.5,4.0,C
1.7,88,6.2,2.0,C
8.5,88,7.4,4.4,A
5.0,54,6.0,3.3,C
7.7,76,7.0,2.2,B
7.1,88,8.8,3.4,A
8.7,95,4.1,3.8,A
3.9,63,5.4,0.1,C
5.4,93,7.5,2.3,B
1.2,75,7.4,0.5,C
9.6,88,7.9,1.8,A
9.0,85,7.0,3.8,A
7.2,71,7.9,4.9,B
2.3,77,4.4,1.2,C
9.9,74,7.4,3.3,B
2.2,72,5.9,0.8,C
9.6,52,7.8,2.4,B
8.6,67,7.9,1.6,B
0.1,81,5.1,0.7,C
6.2,59,5.9,1.4,B
6.6,95,6.9,3.9,B
4.1,51,4.2,3.4,C
2.7,91,6.4,0.5,C
2.6,61,8.3,1.7,C
6.7,60,6.2,4.4,B
5.2,50,4.5,1.6,B
0.1,87,4.6,3.5,C
9.8,100,5.5,1.7,A
4.8,73,6.3,3.7,C
8.5,99,6.3,2.2,A
2.0,79,8.8,2.4,C
7.1,85,5.0,4.8,A
1.1,61,8.1,3.1,C
6.2,69,7.0,3.2,B
1.2,99,6.0,0.9,C
6.1,85,6.9,0.1,B
9.2,68,7.3,4.6,B
2.2,90,6.3,3.0,C
7.7,81,4.3,3.8,A
2.0,87,7.1,1.3,C
6.3,90,8.9,4.1,B
9.3,83,6.4,0.2,A
2.5,92,6.2,0.2,C
9.3,56,7.0,2.1,B
8.9,99,7.7,3.2,A
6.6,96,4.2,4.6,B
9.6,74,8.3,1.6,B
5.8,96,8.7,2.4,B
0.2,62,6.3,3.6,C
4.4,70,8.7,0.4,C
1.1,76,5.8,3.2,C
0.3,81,8.6,2.3,C
9.6,72,6.3,3.4,B
3.8,81,6.9,2.0,C
2.1,61,6.3,4.4,C
3.1,67,7.8,1.8,C
9.0,97,4.7,3.0,A
3.8,52,6.5,4.2,C
5.9,93,8.2,0.4,B
3.5,55,8.6,1.1,C
3.4,80,4.7,1.0,C
5.0,84,6.1,3.4,C
3.3,95,4.7,3.3,C
9.4,64,6.4,0.7,B
4.8,83,4.5,3.8,C
7.8,54,4.6,2.2,B
9.5,58,7.7,0.1,B
2.7,67,4.8,3.7,C
6.0,77,8.0,3.7,B
2.9,50,4.9,1.5,C
5.6,93,5.0,2.1,B
4.8,85,5.1,4.9,C
6.7,82,8.6,0.1,B
3.4,50,6.8,1.3,C
5.3,67,6.2,2.8,B
7.4,64,8.1,0.4,B
8.0,52,6.4,3.6,B
4.2,56,5.1,1.0,C
4.5,65,8.2,2.7,C
8.3,51,7.7,2.7,B
7.3,91,6.5,1.9,A
4.0,58,7.2,2.7,C
5.7,98,6.9,3.4,B
0.3,52,7.0,0.2,C
3.6,91,8.4,0.6,C
7.5,92,6.8,1.8,A
4.5,90,7.2,0.1,C
2.5,67,6.6,2.5,C
9.1,97,6.0,2.5,A
4.2,61,8.1,4.2,C
0.6,97,4.8,4.1,C
6.9,93,6.8,0.1,B
2.5,89,7.7,3.2,C
2.0,78,4.6,3.8,C
1.3,88,5.8,4.2,C
5.8,90,7.4,4.2,B
4.3,71,4.9,0.7,C
6.5,78,4.1,4.0,B
9.7,70,5.9,2.6,B
3.6,51,8.2,3.9,C
4.1,89,8.7,0.9,C
2.1,55,5.3,0.8,C
1.4,55,5.8,1.6,C
8.8,74,6.7,4.4,B
3.4,78,4.8,1.3,C
5.3,98,6.0,4.4,B
2.5,63,7.3,0.9,C
7.6,62,8.8,3.7,B
3.2,80,7.4,0.8,C
4.5,82,6.1,2.5,C
9.3,94,6.8,0.8,A
2.3,68,8.6,2.5,C
5.3,56,4.1,0.8,B
9.5,74,7.0,3.4,B
2.2,66,8.5,2.1,C
3.6,69,4.3,3.6,C
3.7,94,7.2,2.1,C
6.3,50,7.8,3.9,B
6.5,73,8.3,1.1,B
5.6,89,5.2,4.6,B
6.8,52,6.3,1.4,B
9.1,53,4.3,1.7,B
3.1,67,8.7,3.6,C
9.9,78,4.6,3.3,B
4.0,83,6.2,2.6,C
6.3,96,7.0,4.2,B
10.0,61,4.5,4.3,B
6.5,51,7.2,3.4,B
4.6,97,8.3,0.2,C
0.9,98,4.7,4.6,C
0.7,71,5.7,3.0,C
4.0,92,7.6,1.7,C
5.2,88,4.7,1.1,B
5.1,60,7.3,4.5,B
2.3,84,4.6,0.4,C
0.1,61,7.6,2.3,C
4.8,58,7.2,0.8,C
1.3,96,5.8,4.7,C
1.0,81,8.6,1.7,C
5.0,56,7.4,4.0,C
9.5,53,8.0,3.3,B
2.8,87,4.6,2.6,C
9.6,95,8.7,3.1,A
1.5,100,7.9,1.7,C
9.2,60,6.1,4.5,B
2.2,71,5.8,4.8,C
5.4,79,8.2,1.8,B
1.1,94,7.0,2.6,C
7.6,92,5.3,1.5,A
8.5,92,8.4,4.9,A
2.2,68,6.7,3.8,C
5.4,86,6.9,3.9,B
5.2,89,4.7,2.7,B
8.8,69,4.7,1.1,B
8.5,78,5.0,3.5,B
4.0,60,6.6,2.9,C
7.7,52,8.8,0.9,B
0.5,88,6.4,0.0,C
4.9,86,8.1,3.5,C
3.4,74,7.0,0.9,C
3.9,95,8.7,4.7,C
1.2,58,7.5,3.7,C
6.3,77,4.9,1.0,B
5.4,72,8.2,2.0,B
7.3,100,4.6,0.6,A
6.0,97,8.3,4.0,B
5.5,88,4.8,3.2,B
0.3,54,6.6,1.5,C
0.8,81,8.4,4.2,C
8.6,85,7.4,3.5,A
2.4,94,4.1,4.8,C
3.4,59,4.1,3.2,C
5.4,58,5.4,2.6,B
2.7,99,7.5,1.0,C
5.4,61,6.8,3.2,B
8.5,70,6.6,0.2,B
5.4,97,7.0,4.3,B
1.2,97,5.6,4.8,C
4.6,73,4.9,1.5,C
2.6,88,8.9,3.3,C
3.9,51,4.6,0.5,C
6.2,62,5.0,4.8,B
3.6,96,6.3,1.5,C
8.6,93,4.8,4.6,A
2.1,59,6.9,3.7,C
8.7,66,4.8,1.7,B
6.0,80,5.0,0.9,B
2.1,67,8.3,5.0,C
9.6,87,8.9,1.7,A
10.0,72,8.3,5.0,B
1.0,77,6.9,2.7,C
1.3,82,4.7,4.2,C
5.6,70,6.8,1.3,B
1.1,72,5.8,2.5,C
8.0,100,8.4,1.9,A
8.3,100,8.8,2.3,A
6.9,88,6.3,4.5,B
4.1,53,8.0,0.2,C
9.6,54,4.4,1.2,B
4.0,92,4.4,0.3,C
8.1,64,4.3,2.4,B
3.7,78,5.4,1.8,C
8.3,74,6.2,4.3,B
4.0,67,8.7,1.3,C
7.7,60,4.0,4.8,B
4.9,74,4.5,4.0,C
9.9,77,5.1,4.3,B
5.1,100,5.9,4.4,B
9.6,81,4.6,3.1,A
3.2,85,6.4,3.0,C
0.1,65,5.9,3.8,C
4.4,63,6.2,4.5,C
5.4,97,6.0,1.4,B
1.6,73,6.5,3.2,C
1.8,79,4.7,2.7,C
0.2,79,4.7,2.4,C
9.9,54,6.2,3.6,B
0.8,53,8.5,1.5,C
4.9,98,5.9,0.5,C
2.2,67,7.7,1.9,C
8.8,52,8.8,4.1,B
4.7,57,4.2,1.4,C
6.2,55,5.5,4.6,B
0.1,89,7.7,3.0,C
1.8,90,6.0,0.1,C
3.0,74,6.7,0.3,C
4.4,93,7.7,3.1,C
5.8,55,6.3,2.3,B
9.8,64,4.7,3.2,B
1.4,67,5.2,0.6,C
0.1,68,6.3,5.0,C
2.1,67,8.4,1.6,C
7.8,76,6.8,2.8,B
7.4,56,5.9,0.1,B
3.5,97,4.1,2.6,C
7.1,72,9.0,0.9,B
3.2,57,7.7,2.0,C
1.2,93,8.6,2.3,C
7.3,84,7.2,3.2,A
3.3,89,6.7,4.8,C
1.8,74,8.8,2.8,C
9.6,62,8.7,3.2,B
9.4,63,8.0,3.0,B
4.4,65,7.1,4.2,C
2.6,53,6.6,2.9,C
4.8,59,4.9,0.4,C
4.7,65,7.3,1.7,C
7.3,74,5.9,2.3,B
3.4,79,7.3,2.5,C
9.6,54,8.0,3.9,B
5.8,69,5.7,1.1,B
5.9,56,7.3,0.9,B
8.1,83,8.2,1.4,A
8.8,64,4.6,1.6,B
6.5,60,5.9,4.9,B
1.9,64,6.9,4.5,C
5.6,88,5.8,0.9,B
10.0,55,5.7,1.1,B
9.3,52,7.9,0.3,B
8.4,88,6.1,2.3,A
3.3,97,7.5,2.4,C
8.3,59,4.6,3.8,B
0.4,91,5.5,4.7,C
1.9,68,4.8,4.1,C
6.6,62,8.4,0.3,B
3.8,61,6.5,3.6,C
2.6,86,8.6,1.7,C
2.1,93,6.5,4.9,C
0.1,92,4.7,0.8,C
5.8,96,5.4,4.2,B
0.8,55,8.8,3.0,C
7.0,96,8.4,0.8,B
9.3,72,6.8,3.3,B
0.2,63,5.3,4.1,C
5.8,94,7.3,1.6,B
4.1,97,7.4,3.5,C
3.2,57,4.2,0.2,C
3.3,77,4.1,4.0,C
8.7,57,4.7,2.0,B
6.6,71,8.1,3.8,B
6.9,94,4.4,1.3,B
2.4,98,6.7,0.1,C
7.0,91,7.9,3.3,B
1.5,55,4.5,2.4,C
9.9,61,4.4,3.1,B
6.1,98,6.4,1.7,B
4.6,91,6.6,2.0,C
3.8,54,8.2,2.4,C
3.4,99,7.9,3.3,C
5.8,64,6.2,1.5,B
7.7,55,6.7,0.2,B
1.3,59,4.3,1.9,C
7.6,74,5.8,0.9,B
6.0,99,5.8,1.2,B
6.3,50,4.3,1.2,B
1.5,81,5.2,3.0,C
1.9,61,8.0,0.5,C
8.0,69,4.3,3.4,B
5.5,61,4.8,1.2,B
1.4,79,4.7,0.3,C
0.7,72,5.7,0.6,C
4.7,53,8.0,4.6,C
3.9,54,8.7,2.5,C
3.0,64,4.9,1.1,C
1.0,65,6.4,1.2,C
5.7,100,6.7,2.4,B
8.8,86,6.6,3.3,A
7.9,61,4.5,2.8,B
9.9,81,8.8,1.6,A
2.4,84,4.8,1.1,C
0.1,80,7.3,2.1,C
9.5,88,7.5,1.9,A
0.9,91,5.3,3.4,C
1.5,73,8.6,2.6,C
0.9,83,5.8,2.2,C
7.5,66,6.6,1.3,B
9.5,71,6.5,4.8,B
1.4,97,6.1,4.2,C
3.6,53,8.9,2.9,C
7.6,77,7.0,2.1,B
0.2,76,5.2,2.8,C
6.7,99,5.0,0.5,B
7.3,83,5.0,1.5,A
3.3,63,8.0,4.2,C
1.6,93,5.2,2.1,C
2.1,69,5.5,1.1,C
9.8,78,8.8,3.8,B
4.8,50,4.6,0.4,C
9.6,70,4.8,0.3,B
6.6,53,4.7,2.2,B
9.3,61,8.4,2.9,B
8.8,84,8.0,0.7,A
2.7,55,8.1,3.4,C
9.8,50,4.4,1.7,B
1.8,59,8.8,1.7,C
3.1,72,5.0,0.3,C
7.2,76,4.6,3.7,B
3.4,93,5.5,1.4,C
4.9,93,6.2,4.7,C
5.9,85,5.7,1.9,B
8.4,97,4.2,4.3,A
2.9,70,4.0,1.7,C
2.3,98,6.5,3.0,C
5.7,76,8.7,0.8,B
2.4,56,6.0,1.8,C
8.3,76,6.8,4.1,B
9.1,81,4.1,2.9,A
7.7,96,8.8,0.6,A
2.0,54,7.6,2.0,C
9.0,76,4.8,2.5,B
3.0,64,4.9,4.0,C
4.8,82,6.0,3.1,C
8.8,89,4.1,2.4,A
6.4,51,8.2,1.5,B
9.9,77,5.8,2.6,B
3.6,71,8.9,4.2,C
1.3,96,9.0,3.0,C
4.8,64,5.0,1.9,C
9.9,93,5.7,4.7,A
1.8,100,7.9,1.6,C
0.7,74,6.5,3.9,C
8.8,92,7.7,2.6,A
5.2,63,4.1,4.7,B
7.8,90,8.6,1.8,A
5.5,61,5.6,4.8,B
0.3,52,6.8,4.4,C
7.1,51,5.0,3.8,B
4.2,56,5.3,2.7,C
2.7,64,5.4,3.0,C
0.2,86,5.9,3.7,C
3.6,88,7.0,3.8,C
0.6,55,8.3,1.0,C
5.8,71,7.1,1.5,B
0.9,90,8.1,5.0,C
5.9,95,6.1,2.4,B
6.0,69,6.8,3.0,B
1.2,87,6.7,3.4,C
1.1,88,8.4,3.8,C
4.9,89,5.7,2.4,C
7.6,66,8.4,3.4,B
5.7,89,6.8,1.5,B
3.4,87,4.0,3.4,C
3.6,94,6.0,1.9,C
0.5,74,4.7,2.1,C
6.8,91,6.0,2.4,B
0.8,57,5.4,0.7,C
2.7,86,4.9,1.0,C
3.6,79,4.4,1.2,C
5.2,78,5.3,0.6,B
4.1,59,6.6,2.1,C
4.6,65,6.2,0.1,C
9.5,81,7.1,4.6,A
6.8,86,5.0,2.0,B
8.6,100,4.1,1.1,A
7.7,63,5.2,2.8,B
5.9,56,8.8,3.9,B
6.0,79,6.7,4.6,B
3.9,56,5.9,4.4,C
6.9,57,5.4,0.8,B
0.8,97,8.7,2.9,C
5.3,54,6.7,2.6,B
5.9,88,7.8,4.9,B
3.6,75,4.5,1.9,C
4.8,52,7.3,3.5,C
3.5,60,7.5,3.3,C
9.2,89,5.3,4.2,A
3.6,53,6.6,2.1,C
4.4,64,6.4,0.5,C
9.6,53,8.3,3.3,B
2.0,60,4.5,3.9,C
3.8,57,4.2,1.3,C
8.6,86,4.0,3.7,A
7.3,68,7.2,1.7,B
5.6,59,8.7,3.2,B
7.9,76,6.3,2.9,B
2.0,93,6.2,1.1,C
4.2,94,6.3,3.5,C
6.6,68,6.8,3.7,B
2.8,51,4.0,2.6,C
8.3,60,8.1,3.7,B
6.1,85,8.9,1.4,B
1.9,67,6.2,0.9,C
9.5,100,8.4,2.2,A
8.4,88,5.9,3.1,A
3.9,85,8.2,2.3,C
9.1,89,7.9,4.5,A
8.2,53,8.2,3.9,B
3.7,54,8.9,2.3,C
3.4,92,4.7,0.9,C
6.3,69,5.4,0.4,B
9.5,56,7.7,1.4,B
6.5,61,6.2,2.1,B
2.2,91,7.4,0.9,C
6.6,65,5.1,4.3,B
4.5,97,4.2,2.9,C
7.1,82,4.0,0.4,A
7.0,51,6.0,3.1,B
6.2,74,8.4,1.1,B
7.0,54,5.6,3.4,B
0.7,50,6.0,2.4,C
2.8,96,5.1,4.2,C
4.4,82,7.0,1.4,C
8.1,86,8.0,0.7,A
1.7,84,6.1,0.3,C
1.5,72,7.3,3.1,C
3.5,76,5.1,1.6,C
2.5,77,8.1,2.6,C
0.6,93,5.0,3.3,C
7.4,60,7.1,2.7,B
1.4,73,6.0,4.9,C
6.9,88,7.4,2.3,B
5.1,91,8.1,3.3,B
3.0,56,5.4,4.8,C
2.5,66,4.5,2.6,C
3.9,50,6.1,2.0,C
7.5,59,8.8,4.6,B
5.9,95,7.9,0.5,B
6.6,57,4.4,0.7,B
4.4,58,5.2,1.1,C
2.0,66,6.1,3.2,C
6.4,62,5.0,0.4,B
8.1,85,8.6,3.4,A
2.7,62,6.9,3.1,C
5.6,97,6.2,3.9,B
1.5,60,6.3,4.6,C
1.1,60,5.9,0.6,C
2.8,66,7.9,1.8,C
0.7,82,9.0,2.0,C
4.2,53,4.6,2.7,C
6.9,52,5.6,0.0,B
1.6,65,4.7,2.1,C
9.8,58,8.3,1.7,B
4.6,66,4.7,2.2,C
3.5,79,8.5,2.6,C
7.9,66,4.6,1.6,B
6.5,98,8.6,3.5,B
6.9,89,5.6,1.6,B
1.2,88,7.0,0.7,C
5.4,71,5.1,0.3,B
9.8,63,6.3,4.8,B
7.1,94,5.5,0.2,A
1.0,79,7.7,1.2,C
9.2,71,6.1,3.1,B
8.9,58,4.1,4.5,B
2.9,97,5.6,1.2,C
4.3,78,7.1,4.7,C
1.3,100,8.6,2.9,C
5.3,91,8.9,2.8,B
0.3,60,8.5,0.5,C
5.5,89,7.3,2.0,B
0.7,95,5.9,3.6,C
8.3,54,7.3,1.9,B
8.2,98,6.6,2.7,A
0.8,71,6.5,1.7,C
6.8,78,7.6,1.8,B
7.9,54,6.8,1.6,B
1.5,97,8.4,3.3,C
7.6,80,4.8,2.4,B
6.6,55,6.5,0.2,B
8.9,100,7.6,3.6,A
3.0,52,4.6,0.6,C
9.8,93,8.4,1.5,A
6.8,70,5.1,4.1,B
0.3,82,6.9,0.8,C
8.3,85,5.7,1.5,A
9.7,51,8.7,3.4,B
2.2,50,5.7,3.3,C
10.0,84,5.7,1.5,A
8.1,86,5.6,3.5,A
0.5,63,5.1,4.2,C
4.5,97,4.3,2.6,C
4.3,60,5.8,4.0,C
9.8,80,4.7,4.2,B
4.4,69,5.2,0.7,C
2.8,83,7.9,0.9,C
3.6,76,4.8,4.9,C
8.5,63,4.5,4.2,B
7.9,94,8.5,4.7,A
0.5,78,4.7,0.2,C
2.3,58,7.7,1.2,C
3.6,57,6.7,3.7,C
0.8,73,4.4,3.6,C
2.3,78,6.3,0.9,C
9.5,89,6.9,3.5,A
3.0,89,4.1,3.4,C
8.1,79,4.5,2.0,B
4.4,100,7.7,0.0,C
6.6,66,6.7,1.0,B
7.2,91,4.9,3.9,A
1.6,93,6.7,3.3,C
1.4,57,8.0,3.6,C
6.4,57,7.8,2.1,B
0.1,94,5.9,0.8,C
4.2,66,5.4,4.6,C
0.5,88,8.9,2.4,C
1.6,54,5.9,5.0,C
8.0,89,8.5,3.4,A
2.5,82,8.3,1.1,C
8.1,59,5.1,4.5,B
8.8,98,7.0,3.1,A
2.4,98,7.9,4.2,C
0.4,79,6.7,0.0,C
7.4,92,7.2,1.5,A
4.6,82,6.7,2.4,C
8.5,54,5.7,4.4,B
8.9,63,5.4,4.6,B
0.3,97,7.9,5.0,C
1.8,76,4.2,3.8,C
5.1,81,5.4,2.4,B
6.1,88,7.8,0.4,B
5.4,99,4.5,0.1,B
4.7,84,8.8,3.4,C
1.7,76,5.2,2.1,C
8.6,79,8.8,0.5,B
4.9,67,7.1,4.7,C
7.8,80,8.0,2.8,B
5.1,58,6.5,0.5,B
1.0,50,4.2,4.9,C
9.2,72,7.0,0.3,B
0.5,64,5.4,2.1,C
1.6,71,5.4,2.5,C
0.7,93,8.1,1.1,C
2.0,80,8.6,4.6,C
4.0,77,8.5,4.0,C
5.8,85,7.6,1.6,B
1.5,50,5.9,1.9,C
5.5,53,4.2,4.5,B
0.9,71,8.8,3.3,C
